Question Type,Template type,Question title,Description,Question ID,Required?,Options,Core data source,Condition,Question variant,Page,useForBudgetApprovals,displayAs,Metadata,Is scorable,Weighting
Section,,Vendor Information,,Legal, Security & Technology information,,,,,,,,,,,
,"Product","Service provider","Please provide the legal name of the provider","product","YES",,,"",,"Legal Security & Technology information",,,,,
,"Product website","Website","","productWebsite","NO",,,"","website","Legal Security & Technology information",,,,,
"Core data",,"Service category","IMPORTANTChoosing the correct Service Category is critical for accurate risk assessment and ensuring your request is handled correctly. The selected category must accurately reflect the nature of the service being provided by the Third Party.DO Select Based On:WHAT service the third party is providing (e.g. Software Consulting Recruitment).The nature and type of work being performed (e.g. Marketing Software IT Consulting Legal Services).Example 1: PwC = Professional Services & Consulting  > ConsultantExample 2: Slack = Software & Tools > Communication & Collaboration SaaSDO NOT Select Based On:Which Wise department is procuring the service.Who at Wise will ultimately use the service.If you are unsure which category to choose please:Review the Service Categories Wiki page: https://transferwise.atlassian.net/wiki/x/-dcN4QConnect with the Third-Party Management Team on Slack: #thirdpartymanagement","newPurchaseRequestV02-Legal Security & Technology information-question-6","YES",,"91140b22-a9ac-4098-86a7-3c07c6250721","",,"Legal Security & Technology information",true,"multi-level-dropdown",,,
,"Product description","Service Description","Summarise the service you intend to purchase. This will assist us in understanding your requirements efficiently and expediting the review process.","productDescription","YES",,,"","longText","Legal Security & Technology information",,,,,
,"Supplier portal assignees","External Contact information","Please provide the Vendor point of contact for this engagement. This external contact will be in charge of completing any necessary vendor questionnaires for the onboarding process.[Please do not input Wise contacts here - these can be added later in the form as followers to the request.]","supplierPortalAssignees","YES",,,"",,"Legal Security & Technology information",,,,,
,"Buyer legal entity","Contracting Wise entity","Please specify the Wise entity that will be executing the agreement with the third party. This information is crucial to ensure proper legal and financial coherence down the line.","buyerLegalEntity","YES",,"subsidiaries","",,"Legal Security & Technology information",,"dropdown",,,
"Dropdown",,"Confirmation of other Wise entities consuming the service","Please confirm if the Wise entity signing the contract will be the only entity consuming the services. If the service is not restricted to just one entity or is distributed to other entities select ""No"" and indicate below which entities further consume that service.","newPurchaseRequestServicingEntity","YES","Yes;No",,"",,"Legal Security & Technology information",,,,,
"Core data",,"Additional Wise entities that will be using the service","Select ""Global / Servicing all Wise entities"" if the service is not limited to specific entities.","f258a515-8f4a-4c08-a3ce-972b0c9130de","YES",,"9bff4e2e-d52f-4576-9a20-dc7e263c0be4","{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestServicingEntity"",""questionType"":""dropdown""},""secondaryField"":{""type"":""VARIABLE"",""value"":""No""}}]}",,"Legal Security & Technology information",,"checkbox",,,
Section,,Banking Question,,page 5,,,,,,,,,,,
"Dropdown",,"Ownership type of the banking service provider","Please indicate the ownership type of the banking service provider","BSP-Ownershiptype","YES","Public;Private",,"",,"page 5",,,,,
"Assignee autocomplete",,"Contact for Banking Team","Please provide the contact details of the person from Wise's banking team.","BSP-Wisecontact","YES",,,"",,"page 5",,,,,
Section,,Commercial,,page-4,,,,,,,,,,,
"Dropdown",,"Nature of the engagement","Please select the type of engagement into which we will enter with the provider.","newPurchaseRequestV02-page-4-question-1","YES","Trial / Proof of concept;Fixed Term;Monthly subscription;Recurring;One-off",,"",,"page-4",,,,,
"Dropdown",,"What is the length of this third party engagement?","Please indicate the length of the engagement. If a definitive duration is not specified please provide your preferred ideal length for this engagement.","newPurchaseRequestV03-page-4-question-6","YES","Less than 1 year;1 Year;2 Years;3 Years;More than 3 Years",,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV02-page-4-question-1"",""questionType"":""dropdown""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Fixed Term""}}]}",,"page-4",,,,,
"Dropdown",,"Renewal clause","Does this engagement include an automatic renewal clause? Kindly specify if this engagement contains a clause for automatic renewal in the contract.","newPurchaseRequestV03-Legal Security & Technology information-question-10","YES","Yes;No;Not applicable",,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV02-page-4-question-1"",""questionType"":""dropdown""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Fixed Term""}}]}",,"page-4",,,,,
,"Total value","Total Contract Value","If you currently possess the order form/contract kindly specify the total cost as detailed in the document. If you have only received a quote or an initial indicative cost please provide that information. State the cost excluding any applicable taxes and VAT. If you're opting for a monthly subscription please indicate the estimated cost per annum.Example 1: You are signing a contract with a cost of $10000 per annum for three years with an implementation fee of $5000. The total contract value is therefore $35000.Example 2: You're buying a monthly subscription for $100 per month. Please enter the annual value as the total value; in this case would be $1200.For FREE Trials & POCs please enter ""0"" as the amount.","totalValue","YES",,,"",,"page-4",,,,,
,"Payment method","Please choose the payment method for this arrangement.","Wise's standard payment method is via invoice. Please refer to our [Corporate Card Policy](https://transferwise.atlassian.net/wiki/spaces/FIN/pages/2976858643/Corporate+credit+card+policy) for more information. Direct debits are only to be used with appropriate approval from Accounts Payable.","paymentType","YES",,"payment-methods","",,"page-4",,"dropdown",,,
,"Department","Please select the cost centre that will be incurring this cost.","The appropriate Finance business partner managing the cost centre will be notified of the vendor request.If unsure of which cost centre to select please consult with your manager or a member of the Finance team. If the cost is split between multiple cost centres please choose the main one.","department","YES",,"department","",,"page-4",true,"dropdown",,,
,"Contract: start date","Start Date","Please indicate the planned or proposed start date for this engagement.","contractStartDate","YES",,,"",,"page-4",,,,,
,"Contract: end date","Contract: End date","Please enter the contract end date if known. In case of a POC please indicate the tentative end date for the trial and in case of a recurring agreement the next known renewal date.","contractEndDate","NO",,,"",,"page-4",,,,,
"File upload",,"Commercials","Please upload any commercial/pricing documents relating to this engagement such as quotes proposals and draft commercial documents.","newPurchaseRequestV03-Legal Security & Technology information-question-5","NO",,,"",,"page-4",,,,,
,"Address","Please provide the registered address of the third party.","If you have this information now please populate - otherwise the supplier will need to populate this.","address","NO",,,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""NOT_EQUAL"",""primaryField"":{""type"":""DYNAMIC_OPTION_VARIABLE"",""value"":""paymentType"",""source"":""payment-methods"",""questionType"":""dynamic-option""},""secondaryField"":{""id"":""4b2626a1-cea1-416e-82b7-1f58f99f3dac"",""source"":""payment-methods""}}]}",,"page-4",,,,,
Section,,Attestation,,page-5,,,,,,,,,,,
